level,gem,points,r,g,b,w,k
1,k,0,1,1,1,1,
1,k,0,1,1,2,1,
1,k,0,1,,2,2,
1,k,0,3,1,,,1
1,k,0,1,2,,,
1,k,0,,2,,2,
1,k,0,,3,,,
1,k,1,,,4,,
1,b,0,1,1,,1,1
1,b,0,2,1,,1,1
1,b,0,2,2,,1,
1,b,0,1,3,1,,
1,b,0,,,,1,2
1,b,0,,2,,,2
1,b,0,,,,,3
1,b,1,4,,,,
1,w,0,1,1,1,,1
1,w,0,1,2,1,,1
1,w,0,,2,2,,1
1,w,0,,,1,3,1
1,w,0,2,,,,1
1,w,0,,,2,,2
1,w,0,,,3,,
1,w,1,,4,,,
1,g,0,1,,1,1,1
1,g,0,1,,1,1,2
1,g,0,2,,1,,2
1,g,0,,1,3,1,
1,g,0,,,1,2,
1,g,0,2,,2,,
1,g,0,3,,,,
1,g,1,,,,,4
1,r,0,,1,1,1,1
1,r,0,,1,1,2,1
1,r,0,,1,,2,2
1,r,0,1,,,1,3
1,r,0,,1,2,,
1,r,0,2,,,2,
1,r,0,,,,3,
1,r,1,,,,4,
2,k,1,,2,2,3,
2,k,1,,3,,3,2
2,k,2,2,4,1,,
2,k,2,3,5,,,
2,k,2,,,,5,
2,k,3,,,,,6
2,b,1,3,2,2,,
2,b,1,,3,2,,3
2,b,2,,,3,5,
2,b,2,1,,,2,4
2,b,2,,,5,,
2,b,3,,,6,,
2,w,1,2,3,,,2
2,w,1,3,,3,2,
2,w,2,4,1,,,2
2,w,2,5,,,,3
2,w,2,5,,,,
2,w,3,,,,6,
2,g,1,3,2,,3,
2,g,1,,,3,2,2
2,g,2,,,2,4,1
2,g,2,,3,5,,
2,g,2,,5,,,
2,g,3,,6,,,
2,r,1,2,,,2,3
2,r,1,2,,3,,3
2,r,2,,2,4,1,
2,r,2,,,,3,5
2,r,2,,,,,5
2,r,3,6,,,,
3,k,3,3,5,3,3,
3,k,4,7,,,,
3,k,4,6,3,,,3
3,k,5,7,,,,3
3,b,3,3,3,,3,5
3,b,4,,,,7,
3,b,4,,,3,6,3
3,b,5,,,3,7,
3,w,3,5,3,3,,3
3,w,4,,,,,7
3,w,4,3,,,3,6
3,w,5,,,,3,7
3,g,3,3,,3,5,3
3,g,4,,,7,,
3,g,4,,3,6,3,
3,g,5,,3,7,,
3,r,3,,3,5,3,3
3,r,4,,7,,,
3,r,4,3,6,3,,
3,r,5,3,7,,,
